domain,intent,utterance
ovos-skill-confucius-quotes.openvoiceos,"who.intent","que era confuci"
ovos-skill-confucius-quotes.openvoiceos,"who.intent","que fou confuci"
ovos-skill-confucius-quotes.openvoiceos,"who.intent","que va ser confuci"
ovos-skill-confucius-quotes.openvoiceos,"who.intent","qui és confuci"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","aquesta data en la història"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","avui en la història"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","esta data en la història"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","hui en la història"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","tal dia com avui en la història"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","tal dia com hui en la història"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","explica'm  passaren aquest dia"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","explica'm  passaren aquest dia a la història"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","explica'm  passaren aquest dia en la història"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","explica'm  passaren avui"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","explica'm  passaren avui a la història"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","explica'm  passaren avui en la història"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","explica'm  passaren en aquesta data"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","explica'm  passaren en aquesta data a la història"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","explica'm  passaren en aquesta data en la història"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","explica'm  passaren en esta data"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","explica'm  passaren en esta data a la història"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","explica'm  passaren en esta data en la història"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","explica'm  passaren este dia"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","explica'm  passaren este dia a la història"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","explica'm  passaren este dia en la història"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","explica'm  passaren hui"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","explica'm  passaren hui a la història"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","explica'm  passaren hui en la història"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","explica'm  passà aquest dia"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","explica'm  passà aquest dia a la història"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","explica'm  passà aquest dia en la història"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","explica'm  passà avui"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","explica'm  passà avui a la història"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","explica'm  passà avui en la història"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","explica'm  passà en aquesta data"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","explica'm  passà en aquesta data a la història"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","explica'm  passà en aquesta data en la història"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","explica'm  passà en esta data"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","explica'm  passà en esta data a la història"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","explica'm  passà en esta data en la història"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","explica'm  passà este dia"
